ID del campo,Nemónico del campo,Descripción,Alias,Códigos,Concepto,Formato del dato,Longitud,Precisión,Formato para visualización,Tipo de campo,Fecha,Fuente,,,,,,,,,,,,,,,,,,,,,
1,año,Año,Año,Numérico,Año,Numérico entero,4,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
2,mes,Mes,Mes,01-12,Mes,Numérico entero,2,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
3,cve_ent,"Clave de la entidad federativa, de acuerdo con el catálogo de entidades federativas, municipios y localidades del Instituto Nacional de Estadística y Geografía (INEGI),  en la que se ejerció el financiamiento",Clave de entidad federativa,01-32,Clave que identifica a la entidad federativa.,Texto,2,,,Clave de la entidad geográfica,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
4,entidad,"Nombre de la entidad federativa, de acuerdo con el catálogo de entidades federativas, municipios y localidades del INEGI, en la que se ejerció el financiamiento",Nombre de la entidad federativa,Texto,Nombre oficial de la entidad federativa,Texto,30,,,Id descriptivo,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
5,cve_mun,"Clave del  municipio, de acuerdo con el catálogo de entidades federativas, municipios y localidades del Instituto Nacional de Estadística y Geografía (INEGI),  en la que se ejerció el financiamiento",Clave municipal,000-570,Clave de municipio o demarcación territorial,Texto,3,,,Clave de municipio,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
6,municipio,"Nombre del municipio, de acuerdo con el catálogo de entidades federativas, municipios y localidades del INEGI, en la que se ejerció el financiamiento",Nombre del municipio,Texto,Nombre oficial del municipio o demarcación territorial en el caso de la Ciudad de México.,Texto,30,,,Id descriptivo,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
7,sexo,Sexo de los acreditado(a)s,Sexo,1,Hombre,Numérico entero,1,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,2,Mujer,Numérico entero,1,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,,No disponible,,1,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
8,edad_rango,Rango de edad en años de los acreditados ,Rango de edad,1,29  o menos,Numérico entero,1,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,2,30 a 59 ,Numérico entero,1,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,3,60 o más,Numérico entero,1,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,,No especificado,Numérico entero,1,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
9,ingresos_rango,Rango de ingresos de los acreditados expresados en Unidades de Medida y Actualización (UMAs) mensuales,Rangos de ingresos mensuales del acreditado,1,2.6 o menos  ,Numérico entero,1,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,2,2.61 a 4.00 ,Numérico entero,1,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,3,4.01 a 6.00,Numérico entero,1,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,4,6.01 a 9.00,Numérico entero,1,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,5,9.01 a 12.00 ,Numérico entero,1,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,6,Más de 12,Numérico entero,1,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,,No especificado,Numérico entero,1,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
